#,Address,OP,Points,Alpha Gal,Ape Warrior Redux,Base of Bored,Bored 101,Bored Council,Bored Survivors,Bored Town,Bored WOW,Catens,Faceless Portraits,Faceless Totz,Mangmoom,MONO is Bored,Nova Ape,NovaNaut,Robonaut,RoboSkull,The Vintract,Zkalien
1,0x30790ccD8d366552484a27BD0f42E9c980D1C3E9,TBA,94,1,0,1,0,5,0,10,1,1,50,10,1,0,0,1,1,1,1,10
1,0xB6fe1d4bE26159715803Ec9929244D8B2c1cFE9C,TBA,94,1,1,0,0,5,1,10,1,1,50,10,0,1,1,0,1,1,0,10
3,0xd553Fe129584198F36DcF6e54Cd3176Af2d5BE0b,TBA,88,1,1,1,0,5,1,10,1,1,50,0,1,1,1,1,1,1,1,10
4,0x7B4D11a3E5eaD71AD66fD70eff0Be1a5DD09336B,TBA,87,1,1,1,50,5,1,10,1,1,0,0,1,0,1,1,1,1,1,10
5,0x8ae06d2a588F6A507E0997dcfaeBe5ccf6976bCC,TBA,86,1,1,1,50,5,1,10,1,1,0,0,1,0,1,1,1,0,1,10
6,0x98D6716059fE3e1B8a0808d85FE6B9C5795B2E7C,TBA,84,0,1,1,0,5,0,10,1,1,50,0,1,0,1,1,1,1,0,10
7,0x7BC08Df36e28bA76d20De99D156A09446c71B1FE,TBA,81,1,1,1,0,5,1,10,0,0,50,0,0,0,1,0,1,0,0,10
8,0x2117085E7e4eE35825A9C71bbE46AAd8c01789f3,TBA,80,0,1,0,50,5,0,10,1,0,0,0,1,0,0,1,1,0,0,10
8,0x59C5EF981ddF319e7Dae5328B4f54E8D1EA1d430,TBA,80,1,1,1,0,0,0,0,0,1,50,10,1,0,1,1,1,1,1,10
10,0x7d4053510C0E2cE0f127cf890FdB84F1A36cDC6D,TBA,79,1,1,1,0,0,0,10,1,1,50,0,1,0,0,1,1,0,1,10
11,0x110cF16FC17F24a6df36357f3468e775BEb2AA90,TBA,78,0,1,0,0,5,0,10,0,0,50,0,0,0,1,1,0,0,0,10
12,0x2a753194B84B2Fb7E01ee8b3Cd9b0fd4e7c49B5c,TBA,77,1,0,0,0,5,0,10,1,0,50,10,0,0,0,0,0,0,0,0
12,0xc047AC8BF1aa561b2385d39E129Aad4c27ea9237,TBA,77,1,0,1,50,0,0,10,1,1,0,0,0,0,1,0,1,0,1,10
14,0x60Ee29796DbeaC110a92D2C4c4ca2A2CDaC35B3a,TBA,76,1,0,0,0,5,0,10,0,0,50,10,0,0,0,0,0,0,0,0
15,0x617feE8294Eeb7505a3Ab08e5D302757173086Bb,TBA,75,1,1,0,0,0,0,10,1,0,50,0,0,0,0,1,0,0,1,10
15,0x875A6dC230931eBD99542a89f76837d861d2C2F7,TBA,75,1,1,0,0,0,0,10,1,0,50,0,1,0,0,0,0,1,0,10
15,0xF8613CDdC962b2Edd5d10cC6feA6e7CeA7A2F423,TBA,75,0,1,0,0,0,0,10,0,1,50,0,1,0,0,1,0,1,0,10
18,0x08FbB279E8F9db67CB6496cC7a3CF9E539525E20,TBA,74,0,0,0,0,0,0,10,0,0,50,0,1,0,0,1,1,1,0,10
18,0xE408D65d495c567aB246E7c90F11d15d96c1738D,TBA,74,0,0,1,0,0,1,10,1,1,50,0,0,0,0,0,0,0,0,10
20,0x2Fb14f818A03566b41EF9C670488d5c708547d2e,TBA,73,1,1,0,0,0,1,10,0,0,50,10,0,0,0,0,0,0,0,0
20,0x4D06dAdF311ffeaAbe0d6CcD044942209d516c6c,TBA,73,1,1,0,0,0,1,10,0,0,50,0,0,0,0,0,0,0,0,10
20,0xDb87085756AEa0645A690313c4713C74d1457E37,TBA,73,1,1,1,0,5,1,10,1,0,50,0,1,0,0,1,0,0,1,0
